|# 00 00 | 0000 aaaa | |
| | | NORMAL, DIRECT MIX, BRANCH OUT |
|# 00 37 | 0000 aaaa | |
| 00 38 | 0000 bbbb | SEND/RETURN 1:SEND LEVEL (0 - 200) |
|# 00 39 | 0000 aaaa | |
| 00 3A | 0000 bbbb | SEND/RETURN 1:RETURN LEVEL (0 - 200) |
| 00 3B | 0aaa aaaa | SEND/RETURN 1:ADJUST (0 - 100) |
| 00 3C | 0000 000a | SEND/RETURN 2:ON/OFF (0 - 1) |
| | | OFF, ON |
| 00 3D | 0000 00aa | SEND/RETURN 2:MODE (0 - 2) |
| | | NORMAL, DIRECT MIX, BRANCH OUT |
|# 00 3E | 0000 aaaa | |
| 00 3F | 0000 bbbb | SEND/RETURN 2:SEND LEVEL (0 - 200) |
|# 00 40 | 0000 aaaa | |
| 00 41 | 0000 bbbb | SEND/RETURN 2:RETURN LEVEL (0 - 200) |
| 00 42 | 0aaa aaaa | SEND/RETURN 2:ADJUST (0 - 100) |
| 00 43 | 0000 000a | N/A(fixed value) (1) |
| 00 44 | 0aaa aaaa | LOOPER:PLAY LEVEL (0 - 100) |
| 00 45 | 0000 000a | MAIN:STEREO LINK (0 - 1) |
| | | OFF, ON |
| 00 46 | 000a aaaa | MAIN L:SP TYPE (0 - 29) |
| | | OFF, ORIGINAL, 1x8", 1x10", 1x12", 2x12", 4x10", |
| | | 4x12", 8x12", USER 1, USER 2, USER 3, USER 4, |
| | | B1x15", B1x18", B2x15", B4x10", B8x10", |
| | | USER 5 - USER16 |
| 00 47 | 0000 0aaa | MAIN L:MIC TYPE (0 - 4) |
| | | DYN57, DYN421, CND451, CND87, FLAT |
| 00 48 | 0000 00aa | MAIN L:MIC DISTANCE (0 - 2) |
| | | SHORT, MEDIUM, LONG |
| 00 49 | 0000 aaaa | MAIN L:MIC POSITION (0 - 10) |
| | | CENTER, 1cm - 10cm |
| 00 4A | 0aaa aaaa | MAIN L:MIC LEVEL (0 - 100) |
| 00 4B | 0aaa aaaa | MAIN L:DIRECT MIX (0 - 100) |
| 00 4C | 000a aaaa | MAIN R:SP TYPE (0 - 29) |
| | | OFF, ORIGINAL, 1x8", 1x10", 1x12", 2x12", 4x10", |
| | | 4x12", 8x12", USER 1, USER 2, USER 3, USER 4, |
| | | B1x15", B1x18", B2x15", B4x10", B8x10", |
| | | USER 5 - USER16 |
| 00 4D | 0000 0aaa | MAIN R:MIC TYPE (0 - 4) |
| | | DYN57, DYN421, CND451, CND87, FLAT |
| 00 4E | 0000 00aa | MAIN R:MIC DISTANCE (0 - 2) |
